global_step,local_step,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,refresh_success,refresh_source,reward,done,truncated
16,16,legacy_list,manual,0.018,0.05,0.018,0.05,-0.0497736856341362,0.04293135926127434,False,False,-0.03187524154782295,0.02860029600560665,-0.015220709145069122,0.04293135926127434,-0.0497736856341362,-0.012367881834506989,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
17,17,legacy_list,manual,0.018,0.05,0.018,0.05,-0.05121098458766937,0.03654703125357628,False,False,-0.029685597866773605,0.023962723091244698,0.001278188545256853,0.03654703125357628,-0.034186866134405136,-0.05121098458766937,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
18,18,legacy_list,manual,0.018,0.05,0.018,0.05,-0.13640154898166656,0.03592173382639885,False,False,0.03592173382639885,-0.018886394798755646,0.02924187481403351,-0.016935739666223526,-0.13640154898166656,-0.1149890199303627,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
19,19,legacy_list,manual,0.018,0.05,0.018,0.05,-0.17824719846248627,0.06938725709915161,False,False,0.06938725709915161,-0.04319018870592117,0.04802892729640007,-0.02523919567465782,-0.17824719846248627,-0.1521938294172287,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
20,20,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1278916746377945,0.0504644401371479,False,False,0.0504644401371479,-0.020739106461405754,0.02227144129574299,-0.008037587627768517,-0.1278916746377945,-0.11158023774623871,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
21,21,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1671307384967804,0.01976390741765499,False,False,0.01976390741765499,-0.04871189966797829,-0.002308852272108197,-0.08299143612384796,-0.1671307384967804,-0.06998417526483536,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
22,22,legacy_list,manual,0.018,0.05,0.018,0.05,-0.12898516654968262,0.017126401886343956,False,False,0.017126401886343956,-0.003207061206921935,-0.02298007532954216,-0.07390028238296509,-0.12898516654968262,-0.008131749927997589,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
23,23,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08427807688713074,0.06576260179281235,False,False,-0.003773305332288146,0.009487072937190533,-0.03327512368559837,-0.08427807688713074,-0.06097035855054855,0.06576260179281235,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
24,24,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08206483721733093,0.09121497720479965,False,False,-0.01630435511469841,0.09121497720479965,-0.08206483721733093,-0.047874584794044495,-0.04479393735527992,0.01670488901436329,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
25,25,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08499126136302948,0.07182856649160385,False,False,0.004250142723321915,0.07182856649160385,-0.08499126136302948,-0.05153242498636246,-0.05589611828327179,0.014021561481058598,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
26,26,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08736350387334824,0.006265110801905394,False,False,0.006265110801905394,-0.0412348248064518,-0.06727046519517899,-0.08736350387334824,-0.036637213081121445,-0.004065157379955053,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
27,27,legacy_list,manual,0.018,0.05,0.018,0.05,-0.10124180465936661,0.02008179947733879,False,False,0.02008179947733879,-0.006727046798914671,-0.10124180465936661,-0.061524972319602966,-0.0211959071457386,-0.027336034923791885,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
28,28,legacy_list,manual,0.018,0.05,0.018,0.05,-0.11864222586154938,0.008279459550976753,False,False,-0.029037397354841232,-0.005212095100432634,-0.11864222586154938,-0.04663531109690666,0.008279459550976753,-0.023489946499466896,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
