episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,7678,False,policy,0.0,False,1.0,0.0,0.26420295238494873,0.2984641492366791,-0.04142056778073311,-0.2702591121196747,-0.285086065530777,0.2368452101945877,0.0,hold(0),5.284059047698975,5.9692829847335815,-0.8284113556146622,-0.619388259976411,-0.6533691341161415,0.5428092376815494,0.0,0.0,,82.21937561035156,82.21937561035156,0.0,80.0,82.21937561035156,,,,hold_to_memory_or_latch,1.5422576665878296,1.535928726196289,1.5485866069793701,"[1.535928726196289, 1.5485866069793701]",-0.009132378734648228,"[-0.015111126005649567, -0.009132378734648228, -0.03571505844593048]"
1,7679,False,policy,0.0,False,1.0,0.0,0.2811325490474701,0.29608020186424255,-0.008585837669670582,-0.27980050444602966,-0.2813638150691986,0.26865556836128235,0.0,hold(0),5.622650980949403,5.921604037284851,-0.17171675339341164,-0.6412555204155571,-0.6448383644465788,0.615713208391594,0.0,0.0,,82.21937561035156,82.21937561035156,0.0,80.0,82.21937561035156,,,,hold_to_memory_or_latch,1.5361700057983398,1.527298092842102,1.5450420379638672,"[1.527298092842102, 1.5450420379638672]",-0.014211134053766727,"[-0.014622040092945099, -0.014211134053766727, -0.03624945878982544]"
2,7680,False,policy,0.0,False,1.0,0.0,0.2619584798812866,0.2971166968345642,-0.2466033399105072,-0.2856682538986206,-0.26563355326652527,0.25788941979408264,0.0,hold(0),5.239169597625733,5.942333936691284,-4.932066798210144,-0.6547034115705035,-0.6087872599694176,0.5910390134111395,-1.0,-1.0,,82.21937561035156,82.06483459472656,-1.0,10.0,82.21937561035156,,,,close_event_to_close_cmd,1.542555332183838,1.5357614755630493,1.549349069595337,"[1.5357614755630493, 1.549349069595337]",-0.014284376986324787,"[-0.01275741308927536, -0.014284376986324787, -0.037072643637657166]"
3,7681,False,policy,0.0,False,1.0,0.0,0.27246320247650146,0.2919493615627289,-0.2877421975135803,-0.22747881710529327,-0.24612455070018768,0.2912469208240509,0.0,hold(0),5.449264049530029,5.838987231254578,-5.7548439502716064,-0.5213430459504665,-0.5640759195869762,0.6674887743759587,0.0,0.0,,82.06483459472656,79.94104766845703,0.0,10.0,82.06483459472656,,,,hold_to_memory_or_latch,1.5376403331756592,1.5329877138137817,1.5422930717468262,"[1.5329877138137817, 1.5422930717468262]",-0.009876531548798084,"[-0.013316862285137177, -0.009876531548798084, -0.03557637333869934]"
4,7682,False,policy,0.0,False,1.0,0.0,0.2591785490512848,0.28676605224609375,-0.23113787174224854,-0.2720770835876465,-0.28972578048706055,0.10811547189950943,0.0,hold(0),5.183570981025696,5.735321044921875,-4.622757434844971,-0.6235547436720105,-0.6640025775216923,0.2477824095962856,0.0,0.0,,79.94104766845703,75.88421630859375,0.0,10.0,79.94104766845703,,,,hold_to_memory_or_latch,1.5512871742248535,1.542747139930725,1.5598273277282715,"[1.542747139930725, 1.5598273277282715]",-0.01018549595028162,"[-0.01776382327079773, -0.01018549595028162, -0.041968926787376404]"
5,7683,False,policy,0.0,False,1.0,0.0,0.2299492061138153,0.2739349603652954,-0.16538910567760468,-0.23503802716732025,-0.2982885241508484,0.2924383878707886,0.0,hold(0),4.598984122276307,5.478699207305908,-3.3077821135520935,-0.5386674792707453,-0.6836269404411897,0.6702194157042382,0.0,0.0,,75.88421630859375,70.48927307128906,0.0,10.0,75.88421630859375,,,,hold_to_memory_or_latch,1.55674147605896,1.5413686037063599,1.5721142292022705,"[1.5413686037063599, 1.5721142292022705]",-0.012739033438265324,"[-0.019050098955631256, -0.012739033438265324, -0.0325261652469635]"
6,7684,False,policy,0.0,False,1.0,0.0,0.17969749867916107,0.2796841263771057,-0.2285355180501938,-0.2867879271507263,-0.16468673944473267,0.2898070216178894,0.0,hold(0),3.5939499735832214,5.593682527542114,-4.570710361003876,-0.6572695136416773,-0.3774342044781536,0.664188768478467,0.0,0.0,,70.48927307128906,62.9752311706543,0.0,10.0,70.48927307128906,,,,hold_to_memory_or_latch,1.5718674659729004,1.5605242252349854,1.5832107067108154,"[1.5605242252349854, 1.5832107067108154]",-0.015049193985760212,"[-0.02068103849887848, -0.015049193985760212, -0.03766964375972748]"
7,7685,False,policy,0.0,False,1.0,0.0,0.08264227956533432,0.1093040481209755,-0.18967381119728088,-0.2602989673614502,-0.2931927740573883,0.25992488861083984,0.0,hold(0),1.6528455913066864,2.18608096241951,-3.7934762239456177,-0.5965612896569865,-0.6719483414888434,0.5957039643123665,0.0,0.0,,62.9752311706543,54.40644073486328,0.0,10.0,62.9752311706543,,,,hold_to_memory_or_latch,1.5576030015945435,1.535304069519043,1.579901933670044,"[1.535304069519043, 1.579901933670044]",-0.015269388444721699,"[-0.025451816618442535, -0.015269388444721699, -0.033556416630744934]"
8,7686,False,policy,0.0,False,1.0,0.0,0.18236352503299713,0.24304357171058655,-0.27701419591903687,-0.2888869047164917,-0.28151652216911316,0.15313026309013367,0.0,hold(0),3.6472705006599426,4.860871434211731,-5.540283918380738,-0.6620800158741172,-0.6451883433396505,0.35094871163170344,0.0,0.0,,54.40644073486328,43.88935852050781,0.0,10.0,54.40644073486328,,,,hold_to_memory_or_latch,1.5544557571411133,1.5429786443710327,1.5659329891204834,"[1.5429786443710327, 1.5659329891204834]",-0.021108264103531837,"[-0.0231626033782959, -0.021108264103531837, -0.037088192999362946]"
9,7687,False,policy,0.0,False,1.0,0.0,0.28462156653404236,0.2539947032928467,-0.2456275373697281,-0.23407955467700958,-0.24166208505630493,0.22193863987922668,0.0,hold(0),5.692431330680848,5.079894065856934,-4.912550747394562,-0.5364708221317777,-0.5538487016823117,0.5086458950381421,0.0,0.0,,43.88935852050781,34.69984436035156,0.0,10.0,43.88935852050781,,,,hold_to_memory_or_latch,1.5691478252410889,1.5575531721115112,1.580742359161377,"[1.5575531721115112, 1.580742359161377]",-0.020942604169249535,"[-0.025451302528381348, -0.020942604169249535, -0.037509240210056305]"
