episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,3329,False,policy,0.0,False,1.0,0.0,0.2935897409915924,-0.03603077307343483,-0.15095853805541992,0.03640264645218849,0.2233397215604782,-0.28528547286987305,0.0,hold(0),5.871794819831848,-0.7206154614686966,-3.0191707611083984,0.08342872019269122,0.5118569377216943,-0.6538261420735071,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7369417548179626,0.735608696937561,0.7382748126983643,"[0.7382748126983643, 0.735608696937561]",0.1897844672203064,"[0.10875660926103592, 0.1897844672203064, 0.047708455473184586]"
1,3330,False,policy,0.0,False,1.0,0.0,0.24912217259407043,0.2690105736255646,0.24939686059951782,-0.2522463798522949,0.25720149278640747,-0.29659295082092285,0.0,hold(0),4.982443451881409,5.3802114725112915,4.9879372119903564,-0.578106118519612,0.5894624008450254,-0.6797409726148025,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7322766780853271,0.7270135879516602,0.7375397682189941,"[0.7270135879516602, 0.7375397682189941]",0.1860605776309967,"[0.08497796207666397, 0.1860605776309967, 0.06602659076452255]"
2,3331,False,policy,0.0,False,1.0,0.0,0.07615680992603302,0.16102926433086395,-0.27672186493873596,-0.15941625833511353,0.19656415283679962,-0.2722570598125458,0.0,hold(0),1.5231361985206604,3.220585286617279,-5.534437298774719,-0.36535515153476944,0.4504918544445235,-0.6239672187959875,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7374382615089417,0.7369998693466187,0.7378766536712646,"[0.7378766536712646, 0.7369998693466187]",0.18204671144485474,"[0.08840767294168472, 0.18204671144485474, 0.07976637780666351]"
3,3332,False,policy,0.0,False,1.0,0.0,0.29796302318573,0.13422390818595886,-0.016605045646429062,-0.037072014063596725,0.06737332791090012,-0.2963941693305969,0.0,hold(0),5.9592604637146,2.6844781637191772,-0.33210091292858124,-0.08496279775574901,0.15440829364182113,-0.6792853989971628,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7392817139625549,0.7360355257987976,0.7425279021263123,"[0.7360355257987976, 0.7425279021263123]",0.1865539699792862,"[0.08136994391679764, 0.1865539699792862, 0.055712584406137466]"
4,3333,False,policy,0.0,False,1.0,0.0,0.28920960426330566,0.26686960458755493,-0.1844370812177658,-0.2290295958518982,0.17414972186088562,-0.23897206783294678,0.0,hold(0),5.784192085266113,5.337392091751099,-3.688741624355316,-0.5248971690360286,0.3991217626402366,-0.5476836363336748,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7348576784133911,0.7318512797355652,0.737864077091217,"[0.7318512797355652, 0.737864077091217]",0.18571974337100983,"[0.10323891788721085, 0.18571974337100983, 0.07476621866226196]"
5,3334,False,policy,0.0,False,1.0,0.0,0.15777328610420227,0.26381370425224304,0.25993382930755615,-0.1921154260635376,-0.2233489453792572,-0.15229053795337677,0.0,hold(0),3.1554657220840454,5.276274085044861,5.198676586151123,-0.4402961237119327,-0.5118780771571755,-0.34902420338021484,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7430618405342102,0.7289822697639465,0.7571414113044739,"[0.7289822697639465, 0.7571414113044739]",0.1830800324678421,"[0.09711561352014542, 0.1830800324678421, 0.041939686983823776]"
6,3335,False,policy,0.0,False,1.0,0.0,0.24443797767162323,0.2694339454174042,0.29307734966278076,-0.24594618380069733,-0.23546965420246124,0.08506808429956436,0.0,hold(0),4.8887595534324655,5.3886789083480835,5.861546993255615,-0.5636671327651509,-0.5396566955682384,0.1949616880651256,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7648763060569763,0.7519764304161072,0.7777761816978455,"[0.7519764304161072, 0.7777761816978455]",0.1823481172323227,"[0.1132110133767128, 0.1823481172323227, 0.02886270359158516]"
7,3336,False,policy,0.0,False,1.0,0.0,0.19815407693386078,0.27029797434806824,0.29500240087509155,-0.2679138779640198,-0.22857744991779327,0.1535070836544037,0.0,hold(0),3.963081538677216,5.405959486961365,5.900048017501831,-0.6140133792128528,-0.5238609268861001,0.3518123207503599,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7666900157928467,0.755085825920105,0.7782941460609436,"[0.755085825920105, 0.7782941460609436]",0.18358831107616425,"[0.1152968779206276, 0.18358831107616425, 0.05464247986674309]"
8,3337,False,policy,0.0,False,1.0,0.0,0.2533819079399109,0.2789646089076996,-0.006218185648322105,-0.15918226540088654,-0.23587656021118164,0.28044581413269043,0.0,hold(0),5.067638158798218,5.579292178153992,-0.1243637129664421,-0.36481887923208595,-0.540589255446566,0.6427344612765399,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.8108547925949097,0.8037087321281433,0.818000853061676,"[0.8037087321281433, 0.818000853061676]",0.18792350590229034,"[0.13907325267791748, 0.18792350590229034, 0.04294251278042793]"
9,3338,False,policy,0.0,False,1.0,0.0,0.23106718063354492,0.28926485776901245,0.2582949995994568,-0.28131967782974243,-0.20527461171150208,0.23567110300064087,0.0,hold(0),4.621343612670898,5.78529715538025,5.165899991989136,-0.6447372093449711,-0.4704547556902323,0.5401183822051854,0.0,0.0,,82.24047088623047,82.24047088623047,0.0,80.0,82.24047088623047,,,,hold_to_memory_or_latch,0.7850923538208008,0.7784425020217896,0.791742205619812,"[0.7784425020217896, 0.791742205619812]",0.17944034934043884,"[0.08677313476800919, 0.17944034934043884, 0.05420742556452751]"
