episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,24608,False,policy,0.0,False,1.0,0.0,0.21420280635356903,0.012422093190252781,0.2875182330608368,0.20795276761054993,-0.28656551241874695,0.24803073704242706,0.0,hold(0),4.284056127071381,0.2484418638050556,5.750364661216736,0.47659263688597264,-0.6567597766239193,0.5684445768820081,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,1.0111472606658936,1.0052109956741333,1.0170835256576538,"[1.0170835256576538, 1.0052109956741333]",-0.05208462476730347,"[-0.07131650298833847, -0.05208462476730347, -0.07419838756322861]"
1,24609,False,policy,0.0,False,1.0,0.0,0.20783039927482605,0.011052313260734081,0.2825673222541809,0.23324202001094818,-0.2899818420410156,-0.26718559861183167,0.0,hold(0),4.156607985496521,0.22104626521468163,5.651346445083618,0.5345513340693289,-0.6645894273751799,-0.6123442858853769,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,0.9878571629524231,0.9790102243423462,0.9967041015625,"[0.9967041015625, 0.9790102243423462]",-0.05510517582297325,"[-0.07548561692237854, -0.05510517582297325, -0.07586308568716049]"
2,24610,False,policy,0.0,False,1.0,0.0,0.1564025580883026,0.09618905186653137,0.2794244885444641,0.2748768627643585,-0.19168780744075775,-0.13387833535671234,0.0,hold(0),3.1280511617660522,1.9237810373306277,5.588489770889282,0.6299713648877789,-0.4393160940188735,-0.30682654336706733,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,0.9926632046699524,0.9834100008010864,1.0019164085388184,"[1.0019164085388184, 0.9834100008010864]",-0.05286222696304321,"[-0.07322414219379425, -0.05286222696304321, -0.07382503896951675]"
3,24611,False,policy,0.0,False,1.0,0.0,0.2057396024465561,0.12326686829328537,0.27353528141975403,0.05012929067015648,-0.28845423460006714,-0.20184537768363953,0.0,hold(0),4.114792048931122,2.4653373658657074,5.470705628395081,0.11488787141538002,-0.6610884090104149,-0.46259553021986555,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,0.9973793029785156,0.9859520792961121,1.0088064670562744,"[1.0088064670562744, 0.9859520792961121]",-0.051657307893037796,"[-0.07051045447587967, -0.051657307893037796, -0.07405830174684525]"
4,24612,False,policy,0.0,False,1.0,0.0,0.18543660640716553,0.06153015419840813,0.29414352774620056,0.07492600381374359,-0.2248871922492981,-0.09737267345190048,0.0,hold(0),3.708732128143311,1.2306030839681625,5.882870554924011,0.17171775177234472,-0.5154034792972776,-0.2231617291479782,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,0.9929319620132446,0.9865871071815491,0.9992767572402954,"[0.9992767572402954, 0.9865871071815491]",-0.05206509679555893,"[-0.07205307483673096, -0.05206509679555893, -0.07374098896980286]"
5,24613,False,policy,0.0,False,1.0,0.0,0.15109674632549286,-0.05780218914151192,0.2839258015155792,0.21640944480895996,-0.20242169499397278,-0.11555755883455276,0.0,hold(0),3.021934926509857,-1.1560437828302383,5.6785160303115845,0.49597391337290914,-0.4639163522015626,-0.264838416482183,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,1.0129024982452393,1.000321626663208,1.0254833698272705,"[1.0254833698272705, 1.000321626663208]",-0.0521320141851902,"[-0.07350131124258041, -0.0521320141851902, -0.07251209765672684]"
6,24614,False,policy,0.0,False,1.0,0.0,0.04608578234910965,-0.09239122271537781,0.12249831110239029,0.2487899512052536,-0.2633916139602661,-0.022553369402885437,0.0,hold(0),0.921715646982193,-1.8478244543075564,2.449966222047806,0.5701845675730689,-0.6036491135624921,-0.05168851522339284,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,1.047194004058838,1.0390613079071045,1.0553265810012817,"[1.0553265810012817, 1.0390613079071045]",-0.048810821026563644,"[-0.068238265812397, -0.048810821026563644, -0.07395510375499725]"
7,24615,False,policy,0.0,False,1.0,0.0,0.07882023602724075,-0.21740016341209412,0.2229977399110794,0.17840546369552612,-0.2962380051612854,-0.06254241615533829,0.0,hold(0),1.576404720544815,-4.348003268241882,4.459954798221588,0.40887520447312314,-0.678927497084654,-0.14333665945006802,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,1.0720264911651611,1.0634692907333374,1.0805836915969849,"[1.0805836915969849, 1.0634692907333374]",-0.049420032650232315,"[-0.07150333374738693, -0.049420032650232315, -0.06808310747146606]"
8,24616,False,policy,0.0,False,1.0,0.0,0.12772433459758759,-0.07111144810914993,0.043524157255887985,0.2736396789550781,-0.28749367594718933,-0.03169393539428711,0.0,hold(0),2.5544866919517517,-1.4222289621829987,0.8704831451177597,0.6271359484576317,-0.6588869707390279,-0.072637149370118,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,1.0829145908355713,1.076149821281433,1.0896793603897095,"[1.0896793603897095, 1.076149821281433]",-0.049488361924886703,"[-0.06930048763751984, -0.049488361924886703, -0.07161499559879303]"
9,24617,False,policy,0.0,False,1.0,0.0,0.15163488686084747,0.04281441867351532,0.24309957027435303,0.2823466360569,-0.2298463135957718,-0.2803087830543518,0.0,hold(0),3.0326977372169495,0.8562883734703064,4.861991405487061,0.6470908242310658,-0.5267689482271246,-0.6424204091785027,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,1.1777763366699219,1.176181674003601,1.1793708801269531,"[1.1793708801269531, 1.176181674003601]",-0.04756757616996765,"[-0.06872158497571945, -0.04756757616996765, -0.06800536811351776]"
