episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,17001,False,policy,0.0,False,1.0,0.0,0.2394208163022995,-0.20828884840011597,-0.2881135642528534,0.20030994713306427,-0.2807323932647705,-0.2849329113960266,0.0,hold(0),4.78841632604599,-4.165776968002319,-5.762271285057068,0.4590765826085291,-0.6433912522671283,-0.6530181306946944,-1.0,-1.0,,82.24047088623047,82.0016860961914,-1.0,10.0,82.24047088623047,,,,close_event_to_close_cmd,1.247624397277832,1.2449212074279785,1.250327467918396,"[1.2449212074279785, 1.250327467918396]",-0.04025709256529808,"[-0.03742225095629692, -0.04025709256529808, -0.05382624268531799]"
1,17002,False,policy,0.0,False,1.0,0.0,-0.16113565862178802,-0.261474609375,-0.291361927986145,0.2219795137643814,-0.2930922210216522,-0.2748323678970337,0.0,hold(0),-3.2227131724357605,-5.2294921875,-5.8272385597229,0.5087395710826088,-0.6717178909062472,-0.6298693901634708,-1.0,-1.0,,82.0016860961914,80.26546478271484,-1.0,10.0,82.0016860961914,,,,close_event_to_close_cmd,1.2503437995910645,1.2459100484848022,1.254777431488037,"[1.2459100484848022, 1.254777431488037]",-0.04036731645464897,"[-0.03599726781249046, -0.04036731645464897, -0.05539247766137123]"
2,17003,False,policy,0.0,False,1.0,0.0,0.13827720284461975,0.1437482088804245,-0.2902882397174835,0.18901462852954865,-0.269926518201828,-0.24811020493507385,0.0,hold(0),2.765544056892395,2.8749641776084904,-5.80576479434967,0.4331896192390472,-0.6186260108650375,-0.5686267038762264,-1.0,-1.0,,80.26546478271484,77.25190734863281,-1.0,10.0,80.26546478271484,,,,close_event_to_close_cmd,1.2478909492492676,1.2446695566177368,1.251112461090088,"[1.2446695566177368, 1.251112461090088]",-0.042353857308626175,"[-0.03899655118584633, -0.042353857308626175, -0.056058552116155624]"
3,17004,False,policy,0.0,False,1.0,0.0,0.01804213598370552,-0.0890873521566391,-0.2517227232456207,0.2508215606212616,-0.2775877118110657,-0.2259155511856079,0.0,hold(0),0.3608427196741104,-1.781747043132782,-5.0344544649124146,0.5748406733793207,-0.6361841732587142,-0.5177603043722823,-1.0,-1.0,,77.25190734863281,71.6798324584961,-1.0,10.0,77.25190734863281,,,,close_event_to_close_cmd,1.2469749450683594,1.243471622467041,1.2504782676696777,"[1.243471622467041, 1.2504782676696777]",-0.04082971438765526,"[-0.03713607415556908, -0.04082971438765526, -0.055150896310806274]"
4,17005,False,policy,0.0,False,1.0,0.0,-0.10343623161315918,-0.21722909808158875,-0.24979902803897858,0.22554217278957367,-0.26021718978881836,-0.27668997645378113,0.0,hold(0),-2.0687246322631836,-4.344581961631775,-4.9959805607795715,0.5169045841221172,-0.5963738692661614,-0.6341267153750313,-1.0,-1.0,,71.6798324584961,64.9336166381836,-1.0,10.0,71.6798324584961,,,,close_event_to_close_cmd,1.2470519542694092,1.2424860000610352,1.2516177892684937,"[1.2424860000610352, 1.2516177892684937]",-0.04052109643816948,"[-0.03854314610362053, -0.04052109643816948, -0.05618918314576149]"
5,17006,False,policy,0.0,False,1.0,0.0,0.11741340160369873,-0.21600180864334106,-0.2967049777507782,0.28240999579429626,-0.2849307954311371,-0.2219267636537552,0.0,hold(0),2.3482680320739746,-4.320036172866822,-5.934099555015564,0.6472360340528203,-0.6530132812603838,-0.5086186767342995,0.0,0.0,,64.9336166381836,56.6224250793457,0.0,10.0,64.9336166381836,,,,hold_to_memory_or_latch,1.2509387731552124,1.2486951351165771,1.2531824111938477,"[1.2486951351165771, 1.2531824111938477]",-0.034967437386512756,"[-0.03641366586089134, -0.034967437386512756, -0.05513686686754227]"
6,17007,False,policy,0.0,False,1.0,0.0,0.12399706244468689,-0.20437677204608917,-0.2868155241012573,0.29099240899086,-0.25078707933425903,-0.2843501567840576,0.0,hold(0),2.479941248893738,-4.0875354409217834,-5.7363104820251465,0.6669054762208395,-0.5747616480906237,-0.6516825555043901,0.0,0.0,,56.6224250793457,47.009708404541016,0.0,10.0,56.6224250793457,,,,hold_to_memory_or_latch,1.2602254152297974,1.2583087682724,1.2621420621871948,"[1.2583087682724, 1.2621420621871948]",-0.030453480780124664,"[-0.031908776611089706, -0.030453480780124664, -0.0552375465631485]"
7,17008,False,policy,0.0,False,1.0,0.0,0.17656123638153076,-0.2479369193315506,-0.22489967942237854,0.27322858572006226,-0.2949928045272827,0.16026954352855682,0.0,hold(0),3.5312247276306152,-4.958738386631012,-4.497993588447571,0.62619379216352,-0.6760737074456393,0.3673107371469817,0.0,0.0,,47.009708404541016,36.24932861328125,0.0,10.0,47.009708404541016,,,,hold_to_memory_or_latch,1.255226969718933,1.25449800491333,1.2559559345245361,"[1.25449800491333, 1.2559559345245361]",-0.023550255224108696,"[-0.031612496823072433, -0.023550255224108696, -0.047720618546009064]"
8,17009,False,policy,0.0,False,1.0,-0.02,-0.24771669507026672,-0.13451240956783295,-0.2583999037742615,0.27483120560646057,-0.2877085506916046,0.023173531517386436,-1.0,close(-1),-4.954333901405335,-2.690248191356659,-5.1679980754852295,0.6298667263896943,-0.6593794273781859,0.05310982209438549,0.0,0.0,,36.24932861328125,28.634855270385742,0.0,10.0,36.24932861328125,,,,hold_to_memory_or_latch,1.2612309455871582,1.2593204975128174,1.2631412744522095,"[1.2631412744522095, 1.2593204975128174]",-0.024058962240815163,"[-0.024058962240815163, -0.012036174535751343, -0.04474148526787758]"
9,17010,False,policy,0.0,False,1.0,0.0,0.10927680134773254,0.26343902945518494,-0.21149404346942902,0.20238350331783295,-0.2474200278520584,0.0638800859451294,0.0,hold(0),2.185536026954651,5.268780589103699,-4.22988086938858,0.4638288233273488,-0.567044934517289,0.14640237278355533,0.0,0.0,,28.634855270385742,22.529726028442383,0.0,10.0,28.634855270385742,,,,hold_to_memory_or_latch,1.257857322692871,1.2527989149093628,1.262915849685669,"[1.262915849685669, 1.2527989149093628]",-0.006178189069032669,"[-0.026160085573792458, -0.006178189069032669, -0.04438304528594017]"
10,17011,False,policy,0.0,False,1.0,0.0,0.22392705082893372,0.29656949639320374,-0.2847171127796173,0.2997782826423645,0.008458946831524372,-0.16546347737312317,0.0,hold(0),4.478541016578674,5.931389927864075,-5.694342255592346,0.6870412154034956,0.01938647810287627,-0.379214356681534,0.0,0.0,,22.529726028442383,17.769981384277344,0.0,10.0,22.529726028442383,,,,hold_to_memory_or_latch,1.2676925659179688,1.2657372951507568,1.2696478366851807,"[1.2696478366851807, 1.2657372951507568]",0.004879307001829147,"[-0.013659173622727394, 0.004879307001829147, -0.03371598199009895]"
11,17012,False,policy,0.0,False,1.0,0.0,0.213973268866539,0.2750101387500763,-0.16031327843666077,0.2927583158016205,-0.2535402774810791,-0.2274213433265686,0.0,hold(0),4.27946537733078,5.500202775001526,-3.2062655687332153,0.6709526365116388,-0.5810715134496648,-0.5212113257523229,0.0,0.0,,17.769981384277344,17.769981384277344,0.0,10.0,17.769981384277344,,,,hold_to_memory_or_latch,1.2755235433578491,1.2737510204315186,1.2772960662841797,"[1.2772960662841797, 1.2737510204315186]",0.012284982949495316,"[-0.011531645432114601, 0.012284982949495316, -0.03362732753157616]"
12,17013,False,policy,0.0,False,1.0,0.0,-0.2049650102853775,0.2703913152217865,-0.25617045164108276,0.2958129346370697,-0.13960248231887817,0.19240175187587738,0.0,hold(0),-4.09930020570755,5.40782630443573,-5.123409032821656,0.6779533072033351,-0.3199453218568567,0.4409523341364418,0.0,0.0,,17.769981384277344,17.79953384399414,0.0,10.0,17.769981384277344,,,,hold_to_memory_or_latch,1.2692756652832031,1.2676913738250732,1.270859956741333,"[1.270859956741333, 1.2676913738250732]",0.010970573872327805,"[-0.011496277526021004, 0.010970573872327805, -0.0353115051984787]"
13,17014,False,policy,0.0,False,1.0,0.0,0.0014752923743799329,0.26802918314933777,-0.27924832701683044,0.2810717523097992,-0.01433988381177187,-0.13311846554279327,0.0,hold(0),0.02950584748759866,5.360583662986755,-5.584966540336609,0.6441690059079176,-0.03286459284489998,-0.30508505003438924,0.0,0.0,,17.79953384399414,17.806921005249023,0.0,10.0,17.79953384399414,,,,hold_to_memory_or_latch,1.2584176063537598,1.2571511268615723,1.2596840858459473,"[1.2571511268615723, 1.2596840858459473]",0.004892941564321518,"[-0.01513759233057499, 0.004892941564321518, -0.03830071911215782]"
14,17015,False,policy,0.0,False,1.0,0.0,-0.262398898601532,0.26545873284339905,-0.25918567180633545,0.26466456055641174,-0.21220281720161438,0.21704134345054626,0.0,hold(0),-5.24797797203064,5.309174656867981,-5.183713436126709,0.6065664922626797,-0.48633303305754444,0.49742211838262695,0.0,0.0,,17.806921005249023,17.806921005249023,0.0,10.0,17.806921005249023,,,,hold_to_memory_or_latch,1.2589988708496094,1.2578728199005127,1.2601250410079956,"[1.2601250410079956, 1.2578728199005127]",0.0038423275109380484,"[-0.01469501294195652, 0.0038423275109380484, -0.04144442081451416]"
