episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,15063,False,policy,0.0,False,1.0,0.0,-0.19940172135829926,0.23621627688407898,-0.29283806681632996,0.060155607759952545,0.010380543768405914,-0.27156591415405273,0.0,hold(0),-3.9880344271659856,4.72432553768158,-5.8567613363266,0.1378664975475882,0.023790453879219436,-0.62238322962557,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.8049519062042236,1.7993718385696411,1.8105318546295166,"[1.7993718385696411, 1.8105318546295166]",-0.04228644818067551,"[-0.07387501001358032, -0.04228644818067551, -0.06255929917097092]"
1,15064,False,policy,0.0,False,1.0,0.0,-0.04909691587090492,0.0979500561952591,-0.276639848947525,-0.16328606009483337,0.01625942625105381,-0.19983266294002533,0.0,hold(0),-0.9819383174180984,1.9590011239051819,-5.532796978950501,-0.37422408387013933,0.03726386005958408,-0.4579827278129515,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.8070769309997559,1.8046374320983887,1.8095163106918335,"[1.8046374320983887, 1.8095163106918335]",-0.04184217378497124,"[-0.07133317738771439, -0.04184217378497124, -0.06246410310268402]"
2,15065,False,policy,0.0,False,1.0,0.0,-0.11290625482797623,-0.20001855492591858,-0.27877262234687805,0.14481250941753387,0.04496624693274498,-0.27415359020233154,0.0,hold(0),-2.2581250965595245,-4.000371098518372,-5.575452446937561,0.33188582441292713,0.10305504679157483,-0.6283137462781087,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.806993007659912,1.8028852939605713,1.811100721359253,"[1.8028852939605713, 1.811100721359253]",-0.04058479145169258,"[-0.07195818424224854, -0.04058479145169258, -0.06113847345113754]"
3,15066,False,policy,0.0,False,1.0,0.0,-0.2072715312242508,-0.0720331221818924,-0.2642168700695038,-0.09666548669338226,-0.03830303996801376,-0.24576012790203094,0.0,hold(0),-4.145430624485016,-1.440662443637848,-5.284337401390076,-0.22154097648435295,-0.08778410130752386,-0.563240724055267,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.813926339149475,1.811631441116333,1.8162212371826172,"[1.811631441116333, 1.8162212371826172]",-0.04329223185777664,"[-0.07301795482635498, -0.04329223185777664, -0.060096509754657745]"
4,15067,False,policy,0.0,False,1.0,0.0,-0.12556350231170654,-0.05313864350318909,-0.1303970068693161,-0.27904024720191956,0.0024993137922137976,-0.06418036669492722,0.0,hold(0),-2.511270046234131,-1.0627728700637817,-2.607940137386322,-0.6395131391582867,0.005728005278907496,-0.1470905655688529,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.7996933460235596,1.7975234985351562,1.801863193511963,"[1.7975234985351562, 1.801863193511963]",-0.042886052280664444,"[-0.07263564318418503, -0.042886052280664444, -0.06036991626024246]"
5,15068,False,policy,0.0,False,1.0,0.0,-0.14753293991088867,0.04769438877701759,-0.2620427906513214,0.16600008308887482,-0.10935261100530624,-0.13349896669387817,0.0,hold(0),-2.950658798217774,0.953887775540352,-5.240855813026428,0.3804441663925407,-0.25061772357359546,-0.3059570944366706,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.7972393035888672,1.7967844009399414,1.797694206237793,"[1.7967844009399414, 1.797694206237793]",-0.042246270924806595,"[-0.07311414182186127, -0.042246270924806595, -0.05852749943733215]"
6,15069,False,policy,0.0,False,1.0,0.0,-0.021126793697476387,0.08565609157085419,-0.28752344846725464,-0.0009247511625289917,-0.18133598566055298,-0.14077576994895935,0.0,hold(0),-0.42253587394952774,1.7131218314170837,-5.750468969345093,-0.002119373548509107,-0.4155914660877801,-0.32263429903119906,0.0,0.0,,82.74104309082031,82.72691345214844,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.802614450454712,1.8022269010543823,1.803002119064331,"[1.803002119064331, 1.8022269010543823]",-0.043291401118040085,"[-0.07066308706998825, -0.043291401118040085, -0.06175803393125534]"
7,15070,False,policy,0.0,False,1.0,0.0,-0.13775302469730377,-0.1317981630563736,-0.2356710582971573,0.03598962724208832,-0.08951112627983093,0.007072747219353914,0.0,hold(0),-2.7550604939460754,-2.635963261127472,-4.713421165943146,0.08248214988882854,-0.20514439021187447,0.016209542609274718,0.0,0.0,,82.72691345214844,82.74104309082031,0.0,80.0,82.72691345214844,,,,hold_to_memory_or_latch,1.787719964981079,1.78511381149292,1.7903262376785278,"[1.7903262376785278, 1.78511381149292]",-0.044468291103839874,"[-0.07404468208551407, -0.044468291103839874, -0.0622415766119957]"
8,15071,False,policy,0.0,False,1.0,0.0,-0.1605919599533081,0.16350018978118896,-0.2892666161060333,-0.022669870406389236,-0.12900100648403168,-0.1547701507806778,0.0,hold(0),-3.211839199066162,3.2700037956237793,-5.7853323221206665,-0.0519555158557851,-0.2956485289789913,-0.3547070573734488,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.7832344770431519,1.7802507877349854,1.7862181663513184,"[1.7862181663513184, 1.7802507877349854]",-0.04550618305802345,"[-0.06901971995830536, -0.04550618305802345, -0.06226377934217453]"
9,15072,False,policy,0.0,False,1.0,0.0,-0.10374093800783157,0.06674683839082718,-0.22057344019412994,-0.23169846832752228,-0.11975289136171341,-0.2084127515554428,0.0,hold(0),-2.0748187601566315,1.3349367678165436,-4.4114688038826,-0.5310137741925042,-0.27445341038059334,-0.4776468424334182,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,1.7918533086776733,1.7910594940185547,1.792647123336792,"[1.7910594940185547, 1.792647123336792]",-0.041586946696043015,"[-0.0691382959485054, -0.041586946696043015, -0.06144008785486221]"
