episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,5056,False,policy,0.0,False,1.0,0.0,0.0906665027141571,-0.26814818382263184,-0.27347519993782043,-0.2922923266887665,-0.12589909136295319,-0.29930734634399414,0.0,hold(0),1.813330054283142,-5.362963676452637,-5.469503998756409,-0.6698846681330156,-0.28853946318516693,-0.6859619089108503,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.4146114587783813,1.4119318723678589,1.4172910451889038,"[1.4172910451889038, 1.4119318723678589]",0.0741812139749527,"[-0.0015824554720893502, 0.0741812139749527, 0.022632107138633728]"
1,5057,False,policy,0.0,False,1.0,0.0,0.22114941477775574,-0.2425164431333542,-0.27951332926750183,-0.26079943776130676,0.047006819397211075,-0.2985217273235321,0.0,hold(0),4.422988295555116,-4.850328862667084,-5.590266585350037,-0.5977082833243068,0.10773169439175549,-0.6841614027437432,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.4220037460327148,1.421544075012207,1.422463297843933,"[1.421544075012207, 1.422463297843933]",0.07957856357097626,"[-0.009095829911530018, 0.07957856357097626, 0.02492149919271469]"
2,5058,False,policy,0.0,False,1.0,0.0,-0.012561964802443981,-0.26815715432167053,-0.2988693416118622,-0.29386162757873535,0.12104382365942001,-0.2925145626068115,0.0,hold(0),-0.2512392960488796,-5.363143086433411,-5.977386832237244,-0.6734812408442693,0.2774120092724218,-0.6703939953394236,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.405625820159912,1.4026316404342651,1.408619999885559,"[1.4026316404342651, 1.408619999885559]",0.07743783295154572,"[-0.021050792187452316, 0.07743783295154572, 0.02763812243938446]"
3,5059,False,policy,0.0,False,1.0,0.0,0.2642406225204468,-0.06113952025771141,-0.2961115539073944,-0.25198546051979065,-0.07131578773260117,-0.2975587546825409,0.0,hold(0),5.2848124504089355,-1.2227904051542282,-5.922231078147888,-0.5775081354577775,-0.16344374598915593,-0.6819544320191286,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.4194064140319824,1.4137561321258545,1.4250565767288208,"[1.4137561321258545, 1.4250565767288208]",0.07723047584295273,"[-0.013139110989868641, 0.07723047584295273, 0.020246192812919617]"
4,5060,False,policy,0.0,False,1.0,0.0,-0.006719847675412893,-0.21772941946983337,-0.28578057885169983,-0.20512713491916656,0.20659281313419342,-0.29547765851020813,0.0,hold(0),-0.13439695350825787,-4.3545883893966675,-5.715611577033997,-0.4701167637791543,0.47347585081296656,-0.6771849109217087,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.4024657011032104,1.3992863893508911,1.4056450128555298,"[1.3992863893508911, 1.4056450128555298]",0.0762961357831955,"[-0.006948005873709917, 0.0762961357831955, 0.027608215808868408]"
5,5061,False,policy,0.0,False,1.0,0.0,-0.040120963007211685,-0.10175415128469467,-0.2985667586326599,-0.27985256910324097,-0.037512242794036865,-0.2927095293998718,0.0,hold(0),-0.8024192601442337,-2.035083025693894,-5.971335172653198,-0.6413748438203571,-0.0859717276867339,-0.6708408263149258,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.4191958904266357,1.4176572561264038,1.4207344055175781,"[1.4176572561264038, 1.4207344055175781]",0.0798557698726654,"[-0.011551079340279102, 0.0798557698726654, 0.032252825796604156]"
6,5062,False,policy,0.0,False,1.0,0.0,-0.02360634319484234,-0.24995490908622742,-0.2974163293838501,-0.23632623255252838,0.24787551164627075,-0.28822290897369385,0.0,hold(0),-0.47212686389684677,-4.999098181724548,-5.948326587677002,-0.5416198285394834,0.568088826479088,-0.6605582497270384,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.4151413440704346,1.4026161432266235,1.4276665449142456,"[1.4026161432266235, 1.4276665449142456]",0.06722392141819,"[-0.04690718278288841, 0.06722392141819, 0.020246736705303192]"
7,5063,False,policy,0.0,False,1.0,0.0,-0.031496673822402954,-0.2570301294326782,-0.28977420926094055,-0.28556329011917114,0.16784313321113586,-0.24275416135787964,0.0,hold(0),-0.6299334764480591,-5.1406025886535645,-5.795484185218811,-0.6544628523079355,0.3846681261300058,-0.5563515562017712,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.3979895114898682,1.3890239000320435,1.4069551229476929,"[1.3890239000320435, 1.4069551229476929]",0.07202158868312836,"[-0.019299354404211044, 0.07202158868312836, 0.008735880255699158]"
8,5064,False,policy,0.0,False,1.0,0.0,0.15706011652946472,-0.2960225045681,-0.29654452204704285,-0.26203081011772156,0.21652428805828094,-0.2897205948829651,0.0,hold(0),3.141202330589295,-5.9204500913619995,-5.930890440940857,-0.6005303808855726,0.49623711471257553,-0.6639906929925365,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.412656545639038,1.3951319456100464,1.4301811456680298,"[1.3951319456100464, 1.4301811456680298]",0.056661222130060196,"[-0.022081758826971054, 0.056661222130060196, 0.016816481947898865]"
9,5065,False,policy,0.0,False,1.0,0.0,-0.04594297707080841,-0.27412915229797363,-0.29794520139694214,-0.29465246200561523,0.17675980925559998,-0.2986171841621399,0.0,hold(0),-0.9188595414161682,-5.482583045959473,-5.958904027938843,-0.6752936998424239,0.40510364231533375,-0.6843801737028586,0.0,0.0,,82.87543487548828,82.87543487548828,0.0,80.0,82.87543487548828,,,,hold_to_memory_or_latch,1.4439101219177246,1.4245051145553589,1.4633150100708008,"[1.4245051145553589, 1.4633150100708008]",0.061700087040662766,"[0.0021985950879752636, 0.061700087040662766, 0.014405954629182816]"
