episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,5544,False,policy,0.0,False,1.0,0.0,-0.1173824891448021,-0.2950989305973053,-0.2612464427947998,-0.25262367725372314,-0.2339300960302353,-0.2876530885696411,0.0,hold(0),-2.3476497828960423,-5.901978611946106,-5.224928855895996,-0.5789708204685357,-0.5361282881449014,-0.659252317557732,1.0,1.0,,82.98873901367188,82.97457122802734,1.0,80.0,82.98873901367188,,,,open_event_to_open_cmd,1.4709739685058594,1.4672638177871704,1.4746841192245483,"[1.4746841192245483, 1.4672638177871704]",0.06342599540948868,"[-0.008221766911447048, 0.06342599540948868, 0.1173228919506073]"
1,5545,False,policy,0.0,False,1.0,0.0,-0.11809923499822617,-0.23445041477680206,-0.21665824949741364,0.02885601669549942,-0.2981107831001282,-0.28949517011642456,0.0,hold(0),-2.3619846999645238,-4.689008295536041,-4.333164989948273,0.06613311880844629,-0.6832195879590902,-0.6634740574837168,1.0,1.0,,82.97457122802734,82.97457122802734,1.0,80.0,82.97457122802734,,,,open_event_to_open_cmd,1.4688384532928467,1.4677754640579224,1.469901442527771,"[1.469901442527771, 1.4677754640579224]",0.06448348611593246,"[0.005506345070898533, 0.06448348611593246, 0.11087720841169357]"
2,5546,False,policy,0.0,False,1.0,0.0,-0.1929163932800293,-0.22406639158725739,-0.29138219356536865,-0.24283815920352936,-0.24758830666542053,-0.2918851971626282,0.0,hold(0),-3.858327865600586,-4.481327831745148,-5.827643871307373,-0.556544065083528,-0.5674306011487739,-0.6689515959905002,1.0,1.0,,82.97457122802734,82.98873901367188,1.0,80.0,82.97457122802734,,,,open_event_to_open_cmd,1.4721016883850098,1.4687665700912476,1.475436806678772,"[1.475436806678772, 1.4687665700912476]",0.063770592212677,"[0.0016206137370318174, 0.063770592212677, 0.11902391165494919]"
3,5547,False,policy,0.0,False,1.0,0.0,-0.1718495488166809,-0.2677813172340393,-0.19738569855690002,-0.2610693573951721,-0.28335365653038025,-0.2576355040073395,0.0,hold(0),-3.436990976333618,-5.355626344680786,-3.947713971138,-0.5983268935574347,-0.6493987451516131,-0.5904570812938544,1.0,1.0,,82.98873901367188,82.98873901367188,1.0,80.0,82.98873901367188,,,,open_event_to_open_cmd,1.4710307121276855,1.4683371782302856,1.4737242460250854,"[1.4737242460250854, 1.4683371782302856]",0.06110602617263794,"[-0.0031502314377576113, 0.06110602617263794, 0.12105655670166016]"
4,5548,False,policy,0.0,False,1.0,0.0,0.17852327227592468,-0.27013909816741943,-0.2089289128780365,-0.22384123504161835,-0.29784372448921204,-0.28326937556266785,0.0,hold(0),3.5704654455184937,-5.402781963348389,-4.17857825756073,-0.5130063219552241,-0.6826075347075653,-0.6492055874018852,1.0,1.0,,82.98873901367188,82.98873901367188,1.0,80.0,82.98873901367188,,,,open_event_to_open_cmd,1.4684033393859863,1.4664398431777954,1.4703668355941772,"[1.4703668355941772, 1.4664398431777954]",0.06597006320953369,"[-0.000724694924429059, 0.06597006320953369, 0.11874520778656006]"
5,5549,False,policy,0.0,False,1.0,0.0,0.09263163805007935,-0.19233368337154388,-0.2899976670742035,-0.10697104781866074,-0.18797630071640015,-0.2852388620376587,0.0,hold(0),1.852632761001587,-3.8466736674308777,-5.79995334148407,-0.2451595828040549,-0.43080994718126886,-0.6537193179148879,1.0,1.0,,82.98873901367188,82.98873901367188,1.0,80.0,82.98873901367188,,,,open_event_to_open_cmd,1.4639546871185303,1.4620494842529297,1.4658600091934204,"[1.4658600091934204, 1.4620494842529297]",0.06399190425872803,"[-0.004412404261529446, 0.06399190425872803, 0.11569259315729141]"
6,5550,False,policy,0.0,False,1.0,0.0,-0.12119219452142715,-0.20783106982707977,-0.2605356276035309,-0.24211359024047852,-0.286506325006485,-0.238064706325531,0.0,hold(0),-2.423843890428543,-4.1566213965415955,-5.210712552070618,-0.5548834753415687,-0.6566241290670027,-0.5456041169389727,1.0,1.0,,82.98873901367188,82.97457122802734,1.0,80.0,82.98873901367188,,,,open_event_to_open_cmd,1.491386890411377,1.4913606643676758,1.4914131164550781,"[1.4914131164550781, 1.4913606643676758]",0.06391143053770065,"[-0.0005613632965832949, 0.06391143053770065, 0.12126114964485168]"
7,5551,False,policy,0.0,False,1.0,0.0,-0.26935145258903503,-0.27056729793548584,-0.296480268239975,-0.1667468398809433,-0.2860861122608185,-0.29239803552627563,0.0,hold(0),-5.387029051780701,-5.411345958709717,-5.9296053647994995,-0.3821556068928708,-0.6556610723940309,-0.670126934942876,1.0,1.0,,82.97457122802734,82.98873901367188,1.0,80.0,82.97457122802734,,,,open_event_to_open_cmd,1.5014429092407227,1.5000932216644287,1.5027925968170166,"[1.5000932216644287, 1.5027925968170166]",0.05331220477819443,"[-0.018471546471118927, 0.05331220477819443, 0.1009194552898407]"
8,5552,False,policy,0.0,False,1.0,0.0,-0.29158124327659607,-0.2461623102426529,-0.21581973135471344,-0.10229805111885071,-0.25155743956565857,-0.2721971571445465,0.0,hold(0),-5.831624865531922,-4.923246204853058,-4.316394627094269,-0.23444986326094777,-0.5765271836891802,-0.6238299319936703,1.0,1.0,,82.98873901367188,82.98873901367188,1.0,80.0,82.98873901367188,,,,open_event_to_open_cmd,1.5230538845062256,1.5188932418823242,1.5272146463394165,"[1.5188932418823242, 1.5272146463394165]",0.0483284518122673,"[-0.022719450294971466, 0.0483284518122673, 0.08208806067705154]"
9,5553,False,policy,0.0,False,1.0,0.0,-0.2646200358867645,-0.1742829978466034,-0.28470563888549805,-0.016999123618006706,-0.2568223178386688,-0.27949607372283936,0.0,hold(0),-5.2924007177352905,-3.485659956932068,-5.694112777709961,-0.0389591215493177,-0.5885933958769248,-0.6405578165918403,1.0,1.0,,82.98873901367188,82.97457122802734,1.0,80.0,82.98873901367188,,,,open_event_to_open_cmd,1.5292242765426636,1.5256468057632446,1.5328017473220825,"[1.5256468057632446, 1.5328017473220825]",0.04746146500110626,"[-0.01710037887096405, 0.04746146500110626, 0.06981828063726425]"
