i,global_step,source,reward,done,mask,grasp_penalty,action_absmax,action_saturation,gripper_action,gripper_label,action_dx,action_dy,action_dz,action_dr,action_dp,action_dyaw,action_dx_mm,action_dy_mm,action_dz_mm,action_dr_deg,action_dp_deg,action_dyaw_deg,saved_available,saved_dx,saved_dy,saved_dz,saved_dr,saved_dp,saved_dyaw,saved_dx_mm,saved_dy_mm,saved_dz_mm,saved_dr_deg,saved_dp_deg,saved_dyaw_deg,saved_minus_action_norm_absmax,saved_minus_action_norm_l2,saved_minus_action_pos_l2_mm,saved_minus_action_rot_l2_deg,live_available,live_dx,live_dy,live_dz,live_dr,live_dp,live_dyaw,live_dx_mm,live_dy_mm,live_dz_mm,live_dr_deg,live_dp_deg,live_dyaw_deg,live_minus_action_norm_absmax,live_minus_action_norm_l2,live_minus_action_pos_l2_mm,live_minus_action_rot_l2_deg,live_minus_saved_norm_absmax,live_minus_saved_norm_l2,live_minus_saved_pos_l2_mm,live_minus_saved_rot_l2_deg,saved_gripper_before,saved_gripper_after,live_gripper_before,live_gripper_after,env_mapped_hw,env_reason,env_feedback_before,env_mem_before,env_mem_after,critic_q_mean,critic_q_min,grasp_q_selected
10,10,actor,0.0,False,1.0,0.0,0.29672640562057495,False,0.0,hold(0),0.06686587631702423,0.2053026556968689,-0.20471948385238647,-0.19493578374385834,0.29672640562057495,-0.07547228038311005,1.3373174667358398,4.106053352355957,-4.094389915466309,-0.4467598795890808,0.680046796798706,-0.17296971380710602,True,-0.0020168721675872803,0.0060364603996276855,-0.0147305428981781,-0.12483084946870804,-0.06865187734365463,-0.07977230846881866,-0.040337443351745605,0.12072920799255371,-0.294610857963562,-0.2860912084579468,-0.15733850002288818,-0.18282465636730194,0.3653782904148102,0.46795526146888733,5.676183223724365,0.8527166843414307,True,0.09326264262199402,-0.09414255619049072,0.024725496768951416,-0.24579426646232605,-0.20276765525341034,-0.180751770734787,1.8652528524398804,-1.8828511238098145,0.4945099353790283,-0.5633189082145691,-0.46470922231674194,-0.41425251960754395,0.4994940757751465,0.6373177766799927,7.563312530517578,1.1756995916366577,0.1341157853603363,0.2519659698009491,2.8754687309265137,0.47422656416893005,17.79953384399414,17.79953384399414,18.27928924560547,17.784757614135742,,,,,,0.10161499679088593,-0.19020521640777588,-0.019418984651565552
11,11,vr,0.0,False,1.0,0.0,0.25523900985717773,False,0.0,hold(0),0.04425719380378723,0.11592954397201538,-0.0952012836933136,0.08685325086116791,0.25523900985717773,-0.08625022321939468,0.8851438760757446,2.3185908794403076,-1.904025673866272,0.19905297458171844,0.5849646925926208,-0.19767093658447266,True,0.04425719380378723,0.11592954397201538,-0.0952012836933136,0.08685323596000671,0.25523900985717773,-0.08625023812055588,0.8851438760757446,2.3185908794403076,-1.904025673866272,0.19905294477939606,0.5849646925926208,-0.19767098128795624,1.4901161193847656e-08,2.107342389479072e-08,0.0,4.8296726617991226e-08,True,0.07731243968009949,0.0974416732788086,-0.031163543462753296,0.032959237694740295,0.07685153186321259,-0.011541116051375866,1.5462487936019897,1.9488334655761719,-0.6232708692550659,0.07553701102733612,0.1761307269334793,-0.02645028941333294,0.17838747799396515,0.21411068737506866,1.4879895448684692,0.46012812852859497,0.17838747799396515,0.21411070227622986,1.4879895448684692,0.46012812852859497,17.79953384399414,17.755205154418945,17.784757614135742,17.806921005249023,,,,,,0.06359699368476868,-0.3958932161331177,0.38382911682128906
12,12,vr,0.0,False,1.0,0.0,0.2008763700723648,False,0.0,hold(0),-0.06510540843009949,-0.13074874877929688,-0.11807680130004883,-0.2008763700723648,0.13263854384422302,-0.10911689698696136,-1.3021081686019897,-2.6149749755859375,-2.3615360260009766,-0.4603746831417084,0.3039851188659668,-0.2500775158405304,True,-0.06510540843009949,-0.13074874877929688,-0.11807680130004883,-0.20087634027004242,0.13263852894306183,-0.10911688953638077,-1.3021081686019897,-2.6149749755859375,-2.3615360260009766,-0.460374653339386,0.3039851188659668,-0.2500774562358856,2.9802322387695312e-08,3.4142850324769825e-08,0.0,7.824964143310353e-08,True,-0.059751421213150024,0.004708766937255859,-0.16604885458946228,-0.049610577523708344,0.25037631392478943,-0.0820733979344368,-1.1950284242630005,0.09417533874511719,-3.320977210998535,-0.1136990636587143,0.5738202333450317,-0.18809835612773895,0.15126579999923706,0.24115057289600372,2.8760197162628174,0.44366249442100525,0.15126577019691467,0.24115055799484253,2.8760197162628174,0.4436624050140381,17.755205154418945,17.703479766845703,17.806921005249023,17.806921005249023,,,,,,-0.3915550708770752,-0.4641236960887909,-0.18518629670143127
13,13,vr,0.0,False,1.0,0.0,0.23202598094940186,False,0.0,hold(0),0.06351172924041748,-0.02997368574142456,0.10765492916107178,-0.013999938033521175,-0.23202598094940186,0.05147148668766022,1.2702345848083496,-0.5994737148284912,2.1530985832214355,-0.032085493206977844,-0.5317643880844116,0.11796395480632782,True,0.06351172924041748,-0.02997368574142456,0.10765492916107178,-0.013999932445585728,-0.23202601075172424,0.051471494138240814,1.2702345848083496,-0.5994737148284912,2.1530985832214355,-0.03208547830581665,-0.5317643880844116,0.11796396970748901,2.9802322387695312e-08,3.122362102203624e-08,0.0,7.155927050916944e-08,True,0.032164156436920166,-0.09762346744537354,0.0006943941116333008,-0.16461582481861115,-0.11003690212965012,-0.047134608030319214,0.6432831287384033,-1.9524693489074707,0.013887882232666016,-0.3772716224193573,-0.25218600034713745,-0.10802455991506577,0.1506158858537674,0.25355347990989685,2.607659339904785,0.4983857572078705,0.1506158858537674,0.25355347990989685,2.607659339904785,0.49838578701019287,17.703479766845703,17.703479766845703,17.806921005249023,17.806921005249023,,,,,,0.13642838597297668,-0.1829361915588379,0.10117988288402557
14,14,vr,0.0,False,1.0,0.0,0.163924902677536,False,0.0,hold(0),0.03506168723106384,0.03783702850341797,0.09069368243217468,0.06010843440890312,-0.163924902677536,0.0788867399096489,0.7012337446212769,0.7567405700683594,1.8138736486434937,0.13775837421417236,-0.37568819522857666,0.1807950884103775,True,0.03506168723106384,0.03783702850341797,0.09069368243217468,0.06010843440890312,-0.163924902677536,0.0788867399096489,0.7012337446212769,0.7567405700683594,1.8138736486434937,0.13775837421417236,-0.37568819522857666,0.1807950884103775,0.0,0.0,0.0,0.0,True,0.047391653060913086,0.08645951747894287,0.04225894808769226,0.12115553766489029,-0.12474881857633591,0.04603453353047371,0.9478330612182617,1.7291903495788574,0.8451789617538452,0.2776679992675781,-0.2859032154083252,0.1055033802986145,0.06104710325598717,0.10584365576505661,1.3945748805999756,0.18249627947807312,0.06104710325598717,0.10584365576505661,1.3945748805999756,0.18249627947807312,17.703479766845703,17.718257904052734,17.806921005249023,17.806921005249023,,,,,,0.10286083817481995,-0.29433196783065796,0.06620487570762634
15,15,vr,0.0,False,1.0,0.0,0.005273412447422743,False,0.0,hold(0),0.0008068978786468506,-0.004708766937255859,0.0003680586814880371,-0.005273412447422743,-0.0023704373743385077,-0.0035803199280053377,0.01613795757293701,-0.09417533874511719,0.007361173629760742,-0.01208577025681734,-0.005432642064988613,-0.008205488324165344,True,0.0008068978786468506,-0.004708766937255859,0.0003680586814880371,-0.005273412447422743,-0.0023704373743385077,-0.0035803199280053377,0.01613795757293701,-0.09417533874511719,0.007361173629760742,-0.01208577025681734,-0.005432642064988613,-0.008205488324165344,0.0,0.0,0.0,0.0,True,0.012046843767166138,-0.01551210880279541,-6.332993507385254e-05,-0.06380019336938858,-0.039888594299554825,-0.003677036613225937,0.24093687534332275,-0.3102421760559082,-0.0012665987014770508,-0.14621926844120026,-0.09141791611909866,-0.008427146822214127,0.05852678045630455,0.07124774158000946,0.3119196593761444,0.1593276858329773,0.05852678045630455,0.07124774158000946,0.3119196593761444,0.1593276858329773,17.718257904052734,17.725648880004883,17.806921005249023,17.82169532775879,,,,,,-0.19083091616630554,-0.4026699364185333,0.37437009811401367
16,16,vr,0.0,False,1.0,0.0,0.012621759437024593,False,0.0,hold(0),-0.0003218650817871094,-0.008291006088256836,-0.0020235776901245117,-0.012621759437024593,0.001082981121726334,0.0008201297023333609,-0.0064373016357421875,-0.16582012176513672,-0.040471553802490234,-0.028926940634846687,0.002482009818777442,0.0018795985961332917,True,-0.0003218650817871094,-0.008291006088256836,-0.0020235776901245117,-0.012621759437024593,0.001082981121726334,0.0008201297023333609,-0.0064373016357421875,-0.16582012176513672,-0.040471553802490234,-0.028926940634846687,0.002482009818777442,0.0018795985961332917,0.0,0.0,0.0,0.0,True,-0.005069375038146973,0.03784447908401489,-0.019580870866775513,0.05800919234752655,0.020280543714761734,-0.036682385951280594,-0.10138750076293945,0.7568895816802979,-0.39161741733551025,0.13294726610183716,0.04647957906126976,-0.08406983315944672,0.07063095271587372,0.09603643417358398,0.9918226599693298,0.1884843409061432,0.07063095271587372,0.09603643417358398,0.9918226599693298,0.1884843409061432,17.725648880004883,17.725648880004883,17.82169532775879,17.82169532775879,,,,,,-0.05576314032077789,-0.2528614401817322,0.05386880040168762
17,17,vr,0.0,False,1.0,0.0,0.008338718675076962,False,0.0,hold(0),0.0012308359146118164,0.006911158561706543,0.0020518898963928223,0.008338718675076962,-0.0038741056341677904,0.0006490744417533278,0.024616718292236328,0.13822317123413086,0.041037797927856445,0.01911093480885029,-0.008878795430064201,0.0014875690685585141,True,0.0012308359146118164,0.006911158561706543,0.0020518898963928223,0.008338718675076962,-0.0038741056341677904,0.0006490744417533278,0.024616718292236328,0.13822317123413086,0.041037797927856445,0.01911093480885029,-0.008878795430064201,0.0014875690685585141,0.0,0.0,0.0,0.0,True,0.015626102685928345,-0.02119392156600952,-0.00452771782875061,-0.05956518277525902,-0.017037900164723396,0.00220025097951293,0.3125220537185669,-0.42387843132019043,-0.09055435657501221,-0.1365133374929428,-0.03904798999428749,0.005042603239417076,0.06790389865636826,0.07633505761623383,0.6451078653335571,0.15856143832206726,0.06790389865636826,0.07633505761623383,0.6451078653335571,0.15856143832206726,17.725648880004883,17.725648880004883,17.82169532775879,17.82169532775879,,,,,,0.020255640149116516,-0.27112293243408203,-0.33829447627067566
18,18,vr,0.0,False,1.0,0.0,0.005186468828469515,False,0.0,hold(0),8.568167686462402e-05,-0.004692375659942627,0.00037476420402526855,-0.005186468828469515,-6.421708942383475e-09,0.0011806427501142025,0.0017136335372924805,-0.09384751319885254,0.007495284080505371,-0.01188651006668806,-1.4717472573977375e-08,0.0027058336418122053,True,8.568167686462402e-05,-0.004692375659942627,0.00037476420402526855,-0.005186476279050112,-6.14206774329773e-09,0.0011806284310296178,0.0017136335372924805,-0.09384751319885254,0.007495284080505371,-0.011886526830494404,-1.4076581678068578e-08,0.0027058010455220938,1.4319084584712982e-08,1.614390043869207e-08,0.0,3.6999093566691954e-08,True,-0.010464340448379517,0.0603213906288147,-0.017342716455459595,0.06505553424358368,0.015886707231402397,-0.02966177836060524,-0.20928680896759033,1.206427812576294,-0.3468543291091919,0.1490962952375412,0.0364096499979496,-0.06797978281974792,0.0702420026063919,0.10387291759252548,1.3641116619110107,0.17954829335212708,0.0702420100569725,0.10387291759252548,1.3641116619110107,0.17954827845096588,17.725648880004883,17.725648880004883,17.82169532775879,17.806921005249023,,,,,,-0.03730642795562744,-0.418717622756958,-0.1790987253189087
19,19,vr,0.0,False,1.0,0.0,0.0,False,0.0,hold(0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.02174973487854004,-0.037644803524017334,-0.00813603401184082,-0.06381276994943619,-0.020572422072291374,-0.007572357077151537,0.4349946975708008,-0.7528960704803467,-0.1627206802368164,-0.14624808728694916,-0.04714851453900337,-0.017354562878608704,0.06381276994943619,0.08067844808101654,0.8846190571784973,0.1546372026205063,0.06381276994943619,0.08067844808101654,0.8846190571784973,0.1546372026205063,17.725648880004883,17.725648880004883,17.806921005249023,17.806921005249023,,,,,,-0.32146310806274414,-0.5380325317382812,-0.03361189365386963
